"assay","treatE","cycle","strain","repO","rep","repT","lawn","cfu_w","cfu_releas","id"
"releas","mono","10","MYb11","3","3","2","b",154.761904761905,-97.6190476190476,"MYb11_mono_10_2_3"
"releas","mono","10","MYb71","3","3","2","b",271.428571428571,16.6666666666667,"MYb71_mono_10_2_3"
"releas","mono","10","MYb71","6","6","2","b",1278.43137254902,152.941176470588,"MYb71_mono_10_2_6"
"releas","mono","10","MYb71","6","6","3","b",3183.33333333333,191.666666666667,"MYb71_mono_10_3_6"
"releas","mono","10","MYb71","5","5","1","b",4979.48717948718,317.948717948718,"MYb71_mono_10_1_5"
"releas","mono","10","MYb11","5","5","2","b",22533.3333333333,-333.333333333334,"MYb11_mono_10_2_5"
"releas","mono","10","MYb71","5","5","2","b",774666.666666667,-34066.6666666666,"MYb71_mono_10_2_5"
"releas","mono","10","MYb11","5","5","3","b",1696.9696969697,530.30303030303,"MYb11_mono_10_3_5"
"releas","mono","10","MYb11","3","3","1","b",206.837606837607,-34.1880341880342,"MYb11_mono_10_1_3"
"releas","mono","10","MYb71","1","1","3","b",1104.66666666667,-91,"MYb71_mono_10_3_1"
"releas","mono","10","MYb71","4","4","1","b",2013.33333333333,2.66666666666667,"MYb71_mono_10_1_4"
"releas","mono","10","MYb71","2","2","2","b",7483.33333333333,136.666666666667,"MYb71_mono_10_2_2"
"releas","mono","10","MYb11","6","6","3","b",625,812.5,"MYb11_mono_10_3_6"
"releas","mono","10","MYb11","3","3","3","b",254.166666666667,-308.333333333333,"MYb11_mono_10_3_3"
"releas","mono","10","MYb71","5","5","3","b",1554.54545454545,-103.030303030303,"MYb71_mono_10_3_5"
"releas","mono","10","MYb11","4","4","1","b",717.777777777778,-106.666666666667,"MYb11_mono_10_1_4"
"releas","mono","10","MYb71","4","4","2","b",1293.93939393939,-15.1515151515153,"MYb71_mono_10_2_4"
"releas","mono","10","MYb11","2","2","1","b",418.666666666667,20.8888888888889,"MYb11_mono_10_1_2"
"releas","mono","10","MYb11","5","5","1","b",3333.33333333333,-1435.89743589744,"MYb11_mono_10_1_5"
"releas","mono","10","MYb71","2","2","1","b",4553.33333333333,117.777777777778,"MYb71_mono_10_1_2"
"releas","mono","10","MYb71","1","1","2","b",76.6666666666667,-124.444444444444,"MYb71_mono_10_2_1"
"releas","mono","10","MYb71","3","3","3","b",890.416666666667,-140.416666666667,"MYb71_mono_10_3_3"
"releas","mono","10","MYb11","4","4","2","b",145.454545454545,12.1212121212121,"MYb11_mono_10_2_4"
