assay,treatE,cycle,strain,repO,rep,repT,lawn,cfu_w,cfu_releas,id
col.l4,anc,0,MYb11,2,2,2,b,14666.66667,NA,MYb11_anc_0_2_2
col.l4,anc,0,MYb11,5,5,3,b,560,NA,MYb11_anc_0_3_5
col.l4,anc,0,MYb11,1,1,1,b,4680,NA,MYb11_anc_0_1_1
col.l4,anc,0,MYb11,4,4,3,b,364.1025641,NA,MYb11_anc_0_3_4
col.l4,anc,0,MYb11,5,5,2,b,186.6666667,NA,MYb11_anc_0_2_5
col.l4,anc,0,MYb11,2,2,1,b,315.5555556,NA,MYb11_anc_0_1_2
col.l4,anc,0,MYb11,2,2,3,b,30250,NA,MYb11_anc_0_3_2
col.l4,anc,0,MYb11,1,1,3,b,300,NA,MYb11_anc_0_3_1
col.l4,anc,0,MYb11,3,3,3,b,1.851851852,NA,MYb11_anc_0_3_3
col.l4,anc,0,MYb11,6,6,3,b,988.5057471,NA,MYb11_anc_0_3_6
col.l4,anc,0,MYb11,4,4,2,b,6123.45679,NA,MYb11_anc_0_2_4
col.l4,anc,0,MYb11,6,6,1,b,88,NA,MYb11_anc_0_1_6
col.l4,anc,0,MYb11,6,6,2,b,101.2345679,NA,MYb11_anc_0_2_6
col.l4,bi,10,MYb11,4,7,1,b,13933.33333,NA,MYb11_bi_10_1_4
col.l4,anc,0,MYb71,6,6,3,b,14564.10256,NA,MYb71_anc_0_3_6
col.l4,anc,0,MYb71,2,2,3,b,78666.66667,NA,MYb71_anc_0_3_2
col.l4,anc,0,MYb71,1,1,2,b,5280,NA,MYb71_anc_0_2_1
col.l4,anc,0,MYb71,2,2,2,b,71555.55556,NA,MYb71_anc_0_2_2
col.l4,anc,0,MYb71,3,3,1,b,113.3333333,NA,MYb71_anc_0_1_3
col.l4,anc,0,MYb71,6,6,2,b,5863.636364,NA,MYb71_anc_0_2_6
col.l4,anc,0,MYb71,4,4,1,b,171.1111111,NA,MYb71_anc_0_1_4
col.l4,anc,0,MYb71,4,4,3,b,86444.44444,NA,MYb71_anc_0_3_4
col.l4,anc,0,MYb71,5,5,1,b,170,NA,MYb71_anc_0_1_5
col.l4,anc,0,MYb71,3,3,2,b,2977.777778,NA,MYb71_anc_0_2_3
col.l4,anc,0,MYb71,3,3,3,b,107.1428571,NA,MYb71_anc_0_3_3
col.l4,anc,0,MYb71,2,2,1,b,15200,NA,MYb71_anc_0_1_2
col.l4,anc,0,MYb71,6,6,1,b,697.7777778,NA,MYb71_anc_0_1_6
col.l4,anc,0,MYb71,5,5,3,b,8000,NA,MYb71_anc_0_3_5
col.l4,bi,4,MYb71,5,5,3,b,240,NA,MYb71_bi_4_3_5
col.l4,bi,4,MYb71,5,5,2,b,1619.047619,NA,MYb71_bi_4_2_5
col.l4,bi,4,MYb71,5,5,1,b,20,NA,MYb71_bi_4_1_5
col.l4,bi,4,MYb71,3,3,2,b,50,NA,MYb71_bi_4_2_3
col.l4,bi,4,MYb71,4,4,3,b,44444.44444,NA,MYb71_bi_4_3_4
col.l4,bi,4,MYb71,4,4,2,b,23555.55556,NA,MYb71_bi_4_2_4
col.l4,mono,4,MYb71,5,5,2,b,5053.333333,NA,MYb71_mono_4_2_5
col.l4,mono,4,MYb71,2,2,1,b,6933.333333,NA,MYb71_mono_4_1_2
col.l4,mono,4,MYb71,2,2,2,b,80000,NA,MYb71_mono_4_2_2
col.l4,mono,4,MYb71,5,5,1,b,188,NA,MYb71_mono_4_1_5
col.l4,mono,4,MYb71,1,1,1,b,760,NA,MYb71_mono_4_1_1
col.l4,mono,4,MYb71,2,2,3,b,74222.22222,NA,MYb71_mono_4_3_2
col.l4,mono,4,MYb71,6,6,2,b,4191.666667,NA,MYb71_mono_4_2_6
col.l4,mono,4,MYb71,5,5,3,b,2333.333333,NA,MYb71_mono_4_3_5
col.l4,mono,4,MYb71,4,4,1,b,8.666666667,NA,MYb71_mono_4_1_4
col.l4,mono,4,MYb71,3,3,1,b,1445,NA,MYb71_mono_4_1_3
col.l4,mono,4,MYb71,3,3,3,b,264.4444444,NA,MYb71_mono_4_3_3
col.l4,mono,4,MYb71,6,6,1,b,6351.111111,NA,MYb71_mono_4_1_6
col.l4,mono,4,MYb71,4,4,2,b,201333.3333,NA,MYb71_mono_4_2_4
col.l4,mono,4,MYb71,1,1,2,b,6200,NA,MYb71_mono_4_2_1
col.l4,mono,4,MYb71,4,4,3,b,89333.33333,NA,MYb71_mono_4_3_4
col.l4,mono,4,MYb71,3,3,2,b,190.8333333,NA,MYb71_mono_4_2_3
col.l4,mono,4,MYb71,1,1,3,b,6620,NA,MYb71_mono_4_3_1
col.l4,mono,10,MYb71,2,2,2,b,44888.88889,NA,MYb71_mono_10_2_2
col.l4,mono,10,MYb71,5,5,1,b,93.33333333,NA,MYb71_mono_10_1_5
col.l4,mono,10,MYb71,2,2,1,b,3500,NA,MYb71_mono_10_1_2
col.l4,mono,10,MYb71,3,3,3,b,127.6923077,NA,MYb71_mono_10_3_3
col.l4,mono,10,MYb71,4,4,3,b,112222.2222,NA,MYb71_mono_10_3_4
col.l4,mono,10,MYb71,6,6,2,b,3133.333333,NA,MYb71_mono_10_2_6
col.l4,mono,10,MYb71,2,2,3,b,51333.33333,NA,MYb71_mono_10_3_2
col.l4,mono,10,MYb71,5,5,2,b,1950,NA,MYb71_mono_10_2_5
col.l4,mono,10,MYb71,3,3,2,b,377.7777778,NA,MYb71_mono_10_2_3
col.l4,mono,10,MYb71,6,6,1,b,488.8888889,NA,MYb71_mono_10_1_6
col.l4,mono,10,MYb71,1,1,1,b,2453.333333,NA,MYb71_mono_10_1_1
col.l4,mono,10,MYb71,5,5,3,b,1440,NA,MYb71_mono_10_3_5
col.l4,mono,10,MYb71,4,4,2,b,59111.11111,NA,MYb71_mono_10_2_4
col.l4,mono,10,MYb71,1,1,3,b,60,NA,MYb71_mono_10_3_1
col.l4,mono,10,MYb71,3,3,1,b,875,NA,MYb71_mono_10_1_3
col.l4,bi,10,MYb71,6,6,1,b,3083333.333,NA,MYb71_bi_10_1_6
col.l4,bi,10,MYb71,4,4,3,b,79333.33333,NA,MYb71_bi_10_3_4
col.l4,bi,10,MYb71,4,4,2,b,32500,NA,MYb71_bi_10_2_4
col.l4,bi,10,MYb71,5,5,1,b,1720,NA,MYb71_bi_10_1_5
col.l4,bi,10,MYb71,6,6,2,b,237777.7778,NA,MYb71_bi_10_2_6
col.l4,bi,10,MYb71,6,6,3,b,36875,NA,MYb71_bi_10_3_6
col.l4,bi,10,MYb71,3,3,3,b,1564.102564,NA,MYb71_bi_10_3_3
col.l4,bi,10,MYb71,4,4,1,b,129,NA,MYb71_bi_10_1_4
col.l4,bi,10,MYb71,3,3,2,b,6222.222222,NA,MYb71_bi_10_2_3
col.l4,bi,10,MYb71,3,3,1,b,455.5555556,NA,MYb71_bi_10_1_3
col.l4,bi,4,MYb71,2,7,1,b,1895.666667,NA,MYb71_bi_4_1_2
col.l4,bi,10,MYb71,3,7,1,b,6783.333333,NA,MYb71_bi_10_1_3
col.l4,bi,4,MYb71,5,7,1,b,898.3333333,NA,MYb71_bi_4_1_5
col.l4,mono,10,MYb71,5,7,1,b,1474,NA,MYb71_mono_10_1_5
col.l4,mono,4,MYb71,6,7,1,b,1470.333333,NA,MYb71_mono_4_1_6
col.l4,bi,10,MYb71,6,7,1,b,414.3333333,NA,MYb71_bi_10_1_6
