"assay","treatE","cycle","strain","repO","rep","repT","lawn","cfu_w","cfu_releas","id"
"col.l4","anc","0","MYb11","6","6","1","b",88.8888888888889,"NA","MYb11_anc_0_1_6"
"col.l4","anc","0","MYb71","6","6","1","b",2866.66666666667,"NA","MYb71_anc_0_1_6"
"col.l4","anc","0","MYb11","6","6","2","b",120,"NA","MYb11_anc_0_2_6"
"col.l4","anc","0","MYb71","6","6","3","b",1813.33333333333,"NA","MYb71_anc_0_3_6"
"col.l4","anc","0","MYb11","6","6","3","b",340,"NA","MYb11_anc_0_3_6"
"col.l4","anc","0","MYb11","3","3","2","b",30.4,"NA","MYb11_anc_0_2_3"
"col.l4","anc","0","MYb71","3","3","2","b",98.1333333333333,"NA","MYb71_anc_0_2_3"
"col.l4","bi","4","MYb71","6","6","3","b",252.083333333333,"NA","MYb71_bi_4_3_6"
"col.l4","bi","4","MYb11","6","6","3","b",300,"NA","MYb11_bi_4_3_6"
"col.l4","bi","4","MYb11","2","2","2","b",91777.7777777778,"NA","MYb11_bi_4_2_2"
"col.l4","bi","4","MYb71","5","5","3","b",1558.33333333333,"NA","MYb71_bi_4_3_5"
"col.l4","bi","4","MYb71","2","2","1","b",4222.22222222222,"NA","MYb71_bi_4_1_2"
"col.l4","bi","4","MYb11","2","2","1","b",9888.88888888889,"NA","MYb11_bi_4_1_2"
"col.l4","bi","4","MYb71","5","5","2","b",148,"NA","MYb71_bi_4_2_5"
"col.l4","bi","4","MYb71","4","4","3","b",12666.6666666667,"NA","MYb71_bi_4_3_4"
"col.l4","bi","4","MYb11","5","5","3","b",15833.3333333333,"NA","MYb11_bi_4_3_5"
"col.l4","bi","4","MYb71","1","1","1","b",218.666666666667,"NA","MYb71_bi_4_1_1"
"col.l4","bi","4","MYb71","1","1","3","b",460,"NA","MYb71_bi_4_3_1"
"col.l4","bi","4","MYb11","3","3","1","b",413.333333333333,"NA","MYb11_bi_4_1_3"
"col.l4","bi","4","MYb11","1","1","1","b",848,"NA","MYb11_bi_4_1_1"
"col.l4","bi","4","MYb11","1","1","3","b",3270,"NA","MYb11_bi_4_3_1"
"col.l4","bi","4","MYb11","5","5","2","b",313.333333333333,"NA","MYb11_bi_4_2_5"
"col.l4","bi","4","MYb71","3","3","3","b",60.7843137254902,"NA","MYb71_bi_4_3_3"
"col.l4","bi","4","MYb71","4","4","1","b",0,"NA","MYb71_bi_4_1_4"
"col.l4","bi","4","MYb71","5","5","1","b",10.6666666666667,"NA","MYb71_bi_4_1_5"
